"Refid","User","Level","Author(s)","Title ","Year","Domain","Domain_comment","","","Outcome","Outcome_comment","Biological measures","Did at least 1 group use CGM for glucose measurement?  ","Risk","Behaviors","Collection","Frequency of feedback","Communication","Theories ","Was the behavior change theory used to guide the study design? "
430,"Kelli.Richardson,Michelle.Jospe",3,"Alessi, S. M., Petry, N. M.","Smoking reductions and increased self-efficacy in a randomized controlled trial of smoking abstinence-contingent incentives in residential substance abuse treatment patients",2014,"Substance use",,,,"Substance use cessation/reduction",,"Alcohol intake biomarkers,Carbon monoxide,Other : urinary cocaine, marijuana, and opiate",,No,"Alcohol use cessation/reduction,Drug use cessation/reduction,Smoking cessation/reduction",Other,"More than once",Real-time,"Self-Efficacy Theory","Yes, study design guided by theory"
441,"Kelli.Richardson,Michelle.Jospe",3,"Alfadhli, E., Osman, E., Basri, T.","Use of a real time continuous glucose monitoring system as an educational tool for patients with gestational diabetes",2016,Diabetes,,,"Gestational diabetes","Glycemic control",,Glucose,,No,"None explicitly stated",Self-measurement,"More than once",Device,"None explicitly stated",
468,"Kelli.Richardson,Michelle.Jospe",3,"Alick, C. L., Samuel-Hodge, C., Ward, D., Ammerman, A., Rini, C., Tate, D. F.","Together Eating & Activity Matters (TEAM): results of a pilot randomized-clinical trial of a spousal support weight loss intervention for Black men",2018,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/One-way/Real-time,"None explicitly stated",
486,"Kelli.Richardson,Michelle.Jospe",3,"Allen, B. T., DeLong, E. R., Feussner, J. R.","Impact of glucose self-monitoring on non-insulin-treated patients with type II diabetes mellitus. Randomized controlled trial comparing blood and urine testing",1990,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,No,No,"Diet,Medication/treatment use or adherence,Physical activity",Self-measurement,"More than once",Device/Real-time,"None explicitly stated",
489,"Kelli.Richardson,Michelle.Jospe",3,"Allen, J. K., Blumenthal, R. S., Margolis, S., Young, D. R., Miller, E. R., 3rd, Kelly, K.","Nurse case management of hypercholesterolemia in patients with coronary heart disease: results of a randomized clinical trial",2002,CVD,,,,"Lipid management",,Lipids,,No,"Diet,Physical activity,Smoking cessation/reduction",Other,"More than once",One-way/Real-time,"None explicitly stated",
493,"Kelli.Richardson,Michelle.Jospe",3,"Allen, J. K., Stephens, J., Dennison Himmelfarb, C. R., Stewart, K. J., Hauck, S.","Randomized controlled pilot study testing use of smartphone technology for obesity treatment",2013,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/One-way,"Social Cognitive Theory","Yes, study design guided by theory"
501,"Kelli.Richardson,Michelle.Jospe",3,"Allen, N., Whittemore, R., Melkus, G.","A continuous glucose monitoring and problem-solving intervention to change physical activity behavior in women with type 2 diabetes: a pilot study",2011,Diabetes,,,"Type 2 diabetes","Behavior change",,Glucose,Yes,No,"Physical activity",Self-measurement,"More than once",Device/Real-time,"Self-Efficacy Theory","Yes, study design guided by theory"
502,"Kelli.Richardson,Michelle.Jospe",3,"Allen, N. A., Fain, J. A., Braun, B., Chipkin, S. R.","Continuous glucose monitoring counseling improves physical activity behaviors of individuals with type 2 diabetes: A randomized clinical trial",2008,Diabetes,,,"Type 2 diabetes","Behavior change",,Glucose,Yes,No,"Physical activity",Self-measurement,"More than once",Device/Real-time,"Self-Efficacy Theory,Social Cognitive Theory","Yes, study design guided by theory"
543,"Kelli.Richardson,Michelle.Jospe",3,"Alotaibi, M. M., Istepanian, R., Philip, N.","A mobile diabetes management and educational system for type-2 diabetics in Saudi Arabia (SAED)",2016,Diabetes,,,"Type 2 diabetes","Glycemic control",,"Glucose,HbA1c",No,No,"Diet,Medical visit/consultation","Self-measurement,Other","More than once",Device/One-way/Real-time,"None explicitly stated",
592,"Kelli.Richardson,Michelle.Jospe",3,"Amante, D. J., Harlan, D. M., Lemon, S. C., McManus, D. D., Olaitan, O. O., Pagoto, S. L., Gerber, B. S., Thompson, M. J.","Evaluation of a Diabetes Remote Monitoring Program Facilitated by Connected Glucose Meters for Patients With Poorly Controlled Type 2 Diabetes: Randomized Crossover Trial",2021,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,No,No,"Diet,Medication/treatment use or adherence,Physical activity",Self-measurement,"More than once",Device/One-way,"Self-determination theory","Yes, study design guided by theory"
676,"Kelli.Richardson,Michelle.Jospe",3,"Anderson, A. S., Craigie, A. M., Caswell, S., Treweek, S., Stead, M., Macleod, M., Daly, F., Belch, J., Rodger, J., Kirk, A., Ludbrook, A., Rauchhaus, P., Norwood, P., Thompson, J., Wardle, J., Steele, R. J.","The impact of a bodyweight and physical activity intervention (BeWEL) initiated through a national colorectal cancer screening programme: randomised controlled trial",2014,Cancer,,"Patient diagnosed/on treatment",,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/Real-time,"None explicitly stated",
706,"Kelli.Richardson,Michelle.Jospe",3,"Anderson, R. M., Funnell, M. M., Aikens, J. E., Krein, S. L., Fitzgerald, J. T., Nwankwo, R., Tannas, C. L., Tang, T. S.","Evaluating the Efficacy of an Empowerment-Based Self-Management Consultant Intervention: Results of a Two-Year Randomized Controlled Trial",2009,Diabetes,,,"Type 2 diabetes","Glycemic control",,"Blood pressure,HbA1c,Lipids,Weight/BMI",,No,"Alcohol use cessation/reduction,Diet,Medication/treatment use or adherence,Physical activity,Smoking cessation/reduction",Other,Once,"One-way,Real-time","Empowerment Philosophy,Theory of Autonomy Motivation","Yes, study design guided by theory"
866,"Kelli.Richardson,Michelle.Jospe",3,"Anzaldo-Campos, M. C., Contreras, S., Vargas-Ojeda, A., Menchaca-Diaz, R., Fortmann, A., Philis-Tsimikas, A.","Dulce Wireless Tijuana: A Randomized Control Trial Evaluating the Impact of Project Dulce and Short-Term Mobile Technology on Glycemic Control in a Family Medicine Clinic in Northern Mexico",2016,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,,No,"Diet,Medication/treatment use or adherence,Physical activity",Self-measurement,"More than once",Device,"Control Theory,Goal Setting Theory","No, theory acknowledged in discussion"
902,"Kelli.Richardson,Michelle.Jospe",3,"Araujo Almeida, V., Littlejohn, P., Cop, I., Brown, E., Afroze, R., Davison, K. M.","Comparison of Nutrigenomics Technology Interface Tools for Consumers and Health Professionals: A Sequential Explanatory Mixed Methods Investigation",2019,"General health promotion",,,,"Behavior change",,Genetics,,No,Diet,Other,Once,"One-way,Real-time","Transtheoretical Model","Yes, study design guided by theory"
996,"Kelli.Richardson,Michelle.Jospe",3,"Arthur, C., Di Corleto, E., Ballard, E., Kothari, A.","A randomized controlled trial of daily weighing in pregnancy to control gestational weight gain",2020,Pregnancy/Postpartum,,,,"Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once",Device,"None explicitly stated",
998,"Kelli.Richardson,Michelle.Jospe",3,"Artinian, N. T., Flack, J. M., Nordstrom, C. K., Hockman, E. M., Washington, O. G., Jen, K. L., Fathy, M.","Effects of nurse-managed telemonitoring on blood pressure at 12-month follow-up among urban African Americans",2007,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"None explicitly stated",Self-measurement,"More than once",Device/Real-time,"None explicitly stated",
999,"Kelli.Richardson,Michelle.Jospe",3,"Artinian, N. T., Harden, J. K., Kronenberg, M. W., Vander Wal, J. S., Daher, E., Stephens, Q., Bazzi, R. I.","Pilot study of a Web-based compliance monitoring device for patients with congestive heart failure",2003,CVD,,,,"Behavior change",,"Blood pressure,Weight/BMI",,No,"Diet,Medication/treatment use or adherence,Physical activity",Self-measurement,"More than once",Device,"Other : self-care theory","Yes, study design guided by theory"
1082,"Kelli.Richardson,Michelle.Jospe",3,"Aston, E. R., Neiberg, R. H., Liguori, A.","Breath alcohol estimation training: behavioral effects and predictors of success",2013,"Substance use",,,,"Substance use cessation/reduction",,"Alcohol intake biomarkers",,No,"Alcohol use cessation/reduction",Other,"More than once",Real-time,"None explicitly stated",
1093,"Kelli.Richardson,Michelle.Jospe",3,"Athar, M. W., Record, J. D., Martire, C., Hellmann, D. B., Ziegelstein, R. C.","The Effect of a Personalized Approach to Patient Education on Heart Failure Self-Management",2018,CVD,,,,"Behavior change",,"Other : ultrasound images of the inferior vena cava",,No,"Diet,Medication/treatment use or adherence",Other,Once,Real-time,"None explicitly stated",
1122,"Kelli.Richardson,Michelle.Jospe",3,"Aubin, M., Godin, G., Vezina, L., Maziade, J., Desharnais, R.","Hypercholesterolemia screening. Does knowledge of blood cholesterol level affect dietary fat intake?",1998,CVD,,,,"Lipid management",,Lipids,,No,Diet,Other,Once,One-way,"Social Cognitive Theory,Theory of Planned Behavior","Yes, study design guided by theory,No, theory acknowledged in discussion"
1141,"Kelli.Richardson,Michelle.Jospe",3,"Aung, M. N., Yuasa, M., Moolphate, S., Lorga, T., Yokokawa, H., Fukuda, H., Kitajima, T., Tanimura, S., Hiratsuka, Y., Ono, K., Thinuan, P., Minematsu, K., Deerojanawong, J., Suya, Y., Marui, E.","Effectiveness of a new multi-component smoking cessation service package for patients with hypertension and diabetes in northern Thailand: a randomized controlled trial (ESCAPE study)",2019,"Substance use",,,,"Substance use cessation/reduction",,"Carbon monoxide",,No,"Smoking cessation/reduction",Other,"More than once",Device/Unclear,"None explicitly stated",
1155,"Kelli.Richardson,Michelle.Jospe",3,"Averill, F., Brown, T. G., Robertson, R. D., Tchomgang, A., Berbiche, D., Nadeau, L., Ouimet, M. C.","Transdermal alcohol monitoring combined with contingency management for driving while impaired offenders: A pilot randomized controlled study",2018,"Substance use",,,,"Substance use cessation/reduction",,"Alcohol intake biomarkers",,No,"Alcohol use cessation/reduction",Self-measurement,"More than once",One-way,"None explicitly stated",
1196,"Kelli.Richardson,Michelle.Jospe",3,"Ayres, K., Conner, M., Prestwich, A., Hurling, R., Cobain, M., Lawton, R., O'Connor, D. B.","Exploring the question-behaviour effect: randomized controlled trial of motivational and question-behaviour interventions",2013,CVD,,,,"Behavior change",,"Blood pressure,Lipids,Weight/BMI",,Yes,"Alcohol use cessation/reduction,Diet,Medication/treatment use or adherence,Physical activity,Stress management",Other,Once,Real-time,"Theory of Planned Behavior,Other : Model of Action Phases","Yes, study design guided by theory"
1280,"Kelli.Richardson,Michelle.Jospe",3,"Baghianimoghadam, M. H., Rahaee, Z., Morowatisharifabad, M. A., Sharifirad, G., Andishmand, A., Azadbakht, L.","Effects of education on self-monitoring of blood pressure based on BASNEF model in hypertensive patients",2010,CVD,,,,"Behavior change",,"Blood pressure",,No,"None explicitly stated",Self-measurement,"More than once",Device,"Theory of Planned Behavior,Other : PRECEDE Model, Value Expectancy Theory","Yes, study design guided by theory"
1289,"Kelli.Richardson,Michelle.Jospe",3,"Bai, Y., Wu, X., Tsang, R. C., Yun, R., Lu, Y., Dean, E., Jones, A. Y.","A Randomised Controlled Trial to Evaluate the Administration of the Health Improvement Card as a Health Promotion Tool: A Physiotherapist-Led Community-Based Initiative",2020,"General health promotion",,,,"Weight management ",,"Blood pressure,Glucose,Lipids,Weight/BMI",No,Yes,"Alcohol use cessation/reduction,Diet,Physical activity,Sleep,Smoking cessation/reduction",Other,Once,One-way/Real-time,"None explicitly stated",
1481,"Kelli.Richardson,Michelle.Jospe",3,"Barcelo, A., Robles, S., White, F., Jadue, L., Vega, J.","[An intervention to improve diabetes control in Chile]",2001,Diabetes,,,"Type 1 diabetes,Type 2 diabetes","Glycemic control",,Glucose,No,No,Diet,Self-measurement,"More than once",Device,"None explicitly stated",
1512,"Kelli.Richardson,Michelle.Jospe",3,"Barnabas, R. V., van Rooyen, H., Tumwesigye, E., Brantley, J., Baeten, J. M., van Heerden, A., Turyamureeba, B., Joseph, P., Krows, M., Thomas, K. K., Schaafsma, T. T., Hughes, J. P., Celum, C.","Uptake of antiretroviral therapy and male circumcision after community-based HIV testing and strategies for linkage to care versus standard clinic referral: a multisite, open-label, randomised controlled trial in South Africa and Uganda",2016,"Infectious disease",,,,Other,"viral suppression","Infectious disease test result,Other : CD4",,No,"Medical screening uptake,Medical visit/consultation,Medication/treatment use or adherence",Other,Once,Real-time,"None explicitly stated",
1538,"Kelli.Richardson,Michelle.Jospe",3,"Barnfather, K. D., Cope, G. F., Chapple, I. L.","Effect of incorporating a 10 minute point of care test for salivary nicotine metabolites into a general practice based smoking cessation programme: randomised controlled trial",2005,"Substance use",,,,"Substance use cessation/reduction",,Cotinine/Nicotine,,No,"Smoking cessation/reduction",Other,Once,Real-time,"None explicitly stated",
1543,"Kelli.Richardson,Michelle.Jospe",3,"Baron, J. S., Hirani, S., Newman, S. P.","A randomised, controlled trial of the effects of a mobile telehealth intervention on clinical and patient-reported outcomes in people with poorly controlled diabetes",2017,Diabetes,,,"Type 1 diabetes,Type 2 diabetes","Glycemic control",,"Blood pressure,Glucose,Weight/BMI",No,No,"None explicitly stated",Self-measurement,"More than once",Device/One-way/Real-time,"None explicitly stated",
1636,"Kelli.Richardson,Michelle.Jospe",3,"Batalik, L., Dosbaba, F., Hartman, M., Batalikova, K., Spinar, J.","Benefits and effectiveness of using a wrist heart rate monitor as a telerehabilitation device in cardiac patients: A randomized controlled trial",2020,CVD,,,,"Physical ability improvement",,"Heart rate",,No,"Physical activity",Self-measurement,"More than once",Device/Real-time,"None explicitly stated",
1673,"Kelli.Richardson,Michelle.Jospe",3,"Baumann, L. J., Keller, M. L.","Responses to threat information",1991,Diabetes,,,"Type 2 diabetes","Behavior change",,Glucose,No,No,"Diet,Medical visit/consultation,Physical activity,Stress management",Other,Once,Real-time,"Common Sense Model","Yes, study design guided by theory"
1864,"Kelli.Richardson,Michelle.Jospe",3,"Bender, M. S., Cooper, B. A., Park, L. G., Padash, S., Arai, S.","A Feasible and Efficacious Mobile-Phone Based Lifestyle Intervention for Filipino Americans with Type 2 Diabetes: Randomized Controlled Trial",2017,Diabetes,,,"Type 2 diabetes","Weight management ",,Weight/BMI,,No,"Diet,Physical activity",Self-measurement,"More than once",Device/Real-time,"Social Cognitive Theory,Transtheoretical Model","Yes, study design guided by theory"
1876,"Kelli.Richardson,Michelle.Jospe",3,"Benhamou, P. Y., Melki, V., Boizel, R., Perreal, F., Quesada, J. L., Bessieres-Lacombe, S., Bosson, J. L., Halimi, S., Hanaire, H.","One-year efficacy and safety of Web-based follow-up using cellular phone in type 1 diabetic patients under insulin pump therapy: the PumpNet study",2007,Diabetes,,,"Type 1 diabetes","Glycemic control",,Glucose,No,No,"None explicitly stated",Self-measurement,"More than once","Device,Device/One-way","None explicitly stated",
1886,"Kelli.Richardson,Michelle.Jospe",3,"Benner, J. S., Erhardt, L., Flammer, M., Moller, R. A., Rajicic, N., Changela, K., Yunis, C., Cherry, S. B., Gaciong, Z., Johnson, E. S., Sturkenboom, M. C., Garcia-Puig, J., Girerd, X., Investigators, Reach Out","A novel programme to evaluate and communicate 10-year risk of CHD reduces predicted risk and improves patients' modifiable risk factor profile",2008,CVD,,,,"CVD management",,"Blood pressure,Lipids",,Yes,"None explicitly stated",Other,Once,Real-time,"None explicitly stated",
1895,"Kelli.Richardson,Michelle.Jospe",3,"Bennett, G. G., Steinberg, D., Askew, S., Levine, E., Foley, P., Batch, B. C., Svetkey, L. P., Bosworth, H. B., Puleo, E. M., Brewer, A., DeVries, A., Miranda, H.","Effectiveness of an App and Provider Counseling for Obesity Treatment in Primary Care",2018,Overweight/Obesity,,,,"Weight management ",,Weight/BMI,,No,Diet,Self-measurement,"More than once",Device/One-way/Real-time,"None explicitly stated",
1938,"Kelli.Richardson,Michelle.Jospe",3,"Bergenstal, R. M., Bode, B. W., Tamler, R., Trence, D. L., Stenger, P., Schachner, H. C., Fullam, J., Pardo, S., Kohut, T., Fisher, W. A.","Advanced meter features improve postprandial and paired self-monitoring of blood glucose in individuals with diabetes: results of the Actions with the CONTOUR Blood Glucose Meter and Behaviors in Frequent Testers (ACT) study",2012,Diabetes,,,"Type 1 diabetes,Type 2 diabetes","Glycemic control",,Glucose,No,No,"None explicitly stated",Self-measurement,"More than once",Device/Real-time,"IMB Model","Yes, study design guided by theory"
2064,"Kelli.Richardson,Michelle.Jospe",3,"Bertz, F., Pacanowski, C. R., Levitsky, D. A.","Frequent Self-Weighing with Electronic Graphic Feedback to Prevent Age-Related Weight Gain in Young Adults",2015,"General health promotion",,,,"Weight management ",,Weight/BMI,,No,"None explicitly stated",Self-measurement,"More than once","Device,Device/One-way","None explicitly stated",
2190,"Kelli.Richardson,Michelle.Jospe",3,"Binstock, M. L., Franklin, K. L.","A comparison of compliance techniques on the control of high blood pressure",1988,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"Diet,Physical activity,Stress management",Self-measurement,"More than once",Device,"None explicitly stated",
2211,"Kelli.Richardson,Michelle.Jospe",3,"Bittman, B., Poornima, I., Smith, M. A., Heidel, R. E.","Gospel Music: A Catalyst for Retention, Engagement, and Positive Health Outcomes for African Americans in a Cardiovascular Prevention and Treatment Program",2020,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"Diet,Physical activity,Sleep,Stress management",Other,"More than once",Real-time,"None explicitly stated",
2275,"Kelli.Richardson,Michelle.Jospe",3,"Blasco, A., Carmona, M., Fernandez-Lozano, I., Salvador, C. H., Pascual, M., Sagredo, P. G., Somolinos, R., Munoz, A., Garcia-Lopez, F., Escudier, J. M., Mingo, S., Toquero, J., Monivas, V., Gonzalez, M. A., Fragua, J. A., Lopez-Rodriguez, F., Monteagudo, J. L., Alonso-Pulpon, L.","Evaluation of a telemedicine service for the secondary prevention of coronary artery disease",2012,CVD,,,,"CVD management",,"Blood pressure,Glucose,Heart rate,Lipids,Weight/BMI",No,No,"Smoking cessation/reduction",Self-measurement,"More than once",Device/One-way,"None explicitly stated",
2297,"Kelli.Richardson,Michelle.Jospe",3,"Block, G., Azar, K. M., Romanelli, R. J., Block, T. J., Hopkins, D., Carpenter, H. A., Dolginsky, M. S., Hudes, M. L., Palaniappan, L. P., Block, C. H.","Diabetes Prevention and Weight Loss with a Fully Automated Behavioral Intervention by Email, Web, and Mobile Phone: A Randomized Controlled Trial Among Persons with Prediabetes",2015,Diabetes,,,Prediabetes,"Glycemic control",,Weight/BMI,,No,"Diet,Physical activity,Sleep,Stress management",Self-measurement,"More than once",Device/One-way,"Social Cognitive Theory,Social Learning Theory,Theory of Planned Behavior","Yes, study design guided by theory"
2317,"Kelli.Richardson,Michelle.Jospe",3,"Bloss, C. S., Wineinger, N. E., Peters, M., Boeldt, D. L., Ariniello, L., Kim, J. Y., Sheard, J., Komatireddy, R., Barrett, P., Topol, E. J.","A prospective randomized trial examining health care utilization in individuals using multiple smartphone-enabled biosensors",2016,Other,"CVD and Diabetes",,,Other,"health care resouce utilization (measured by health insurance claims)","Blood pressure,ECG,Glucose",No,No,"None explicitly stated",Self-measurement,"More than once",Device/One-way,"None explicitly stated",
2352,"Kelli.Richardson,Michelle.Jospe",3,"Boaz, M., Hellman, K., Wainstein, J.","An automated telemedicine system improves patient-reported well-being",2009,Diabetes,,,"Type 1 diabetes,Type 2 diabetes","Glycemic control",,Glucose,No,No,"None explicitly stated",Self-measurement,"More than once",Device,"None explicitly stated",
2439,"Kelli.Richardson,Michelle.Jospe",3,"Bollyky, J. B., Bravata, D., Yang, J., Williamson, M., Schneider, J.","Remote Lifestyle Coaching Plus a Connected Glucose Meter with Certified Diabetes Educator Support Improves Glucose and Weight Loss for People with Type 2 Diabetes",2018,Diabetes,,,"Type 2 diabetes","Glycemic control",,"Glucose,Weight/BMI",No,No,"Diet,Physical activity,Sleep,Stress management",Self-measurement,"More than once",Device/One-way/Real-time,"None explicitly stated",
2451,"Kelli.Richardson,Michelle.Jospe",3,"BonAd, Asia Study Group, Kung, A. W., Rachman, I. A., Adam, J. M., Roeshadi, D., Torralba, T., Navarra, S., Gamilla, Z., Canete, A., de la Rosa, M., Tsai, K., Lin, H. Y., Soong, Y. K., Lan, J. L., Hsu, H. C., Tu, S. T., Lin, R. M., Yuktanandana, P., Songpatanasilp, T., Ngarmukos, S., Soontrapa, S., Soontrapa, S., Rojanasthien, S., Luevitoonvechkij, S., Leerapan, T., Albert, A., Vanbelle, S.","Impact of bone marker feedback on adherence to once monthly ibandronate for osteoporosis among Asian postmenopausal women",2009,Osteoporosis,,,,"Bone health promotion ",,"Bone mass/density",,No,"Medication/treatment use or adherence",Other,Once,Real-time,"None explicitly stated",
2486,"Kelli.Richardson,Michelle.Jospe",3,"Bonomo, K., De Salve, A., Fiora, E., Mularoni, E., Massucco, P., Poy, P., Pomero, A., Cavalot, F., Anfossi, G., Trovati, M.","Evaluation of a simple policy for pre- and post-prandial blood glucose self-monitoring in people with type 2 diabetes not on insulin",2010,Diabetes,,,"Type 2 diabetes","Glycemic control",,Glucose,No,No,"Diet,Physical activity",Self-measurement,"More than once",Device/Real-time,"None explicitly stated",
2541,"Kelli.Richardson,Michelle.Jospe",3,"Borrelli, B., McQuaid, E. L., Novak, S. P., Hammond, S. K., Becker, B.","Motivating Latino caregivers of children with asthma to quit smoking: a randomized trial",2010,"Substance use",,,,"Substance use cessation/reduction",,"Carbon monoxide",,No,"Smoking cessation/reduction",Other,"More than once",Real-time,"Precaution Adoption Model,Social Cognitive Theory,Transtheoretical Model,Other : behavioral action model","Yes, study design guided by theory"
2573,"Kelli.Richardson,Michelle.Jospe",3,"Bosworth, H. B., Olsen, M. K., Grubber, J. M., Neary, A. M., Orr, M. M., Powers, B. J., Adams, M. B., Svetkey, L. P., Reed, S. D., Li, Y., Dolor, R. J., Oddone, E. Z.","Two self-management interventions to improve hypertension control: a randomized trial",2009,CVD,,,,"Blood pressure management",,"Blood pressure",,No,"Alcohol use cessation/reduction,Diet,Physical activity,Smoking cessation/reduction",Self-measurement,"More than once",Device,"None explicitly stated",
