biomarker,refid,author_s,title,year,domain,domain_other,cancer_specific,diabetes_specific,outcome,outcome_specific,biomarker_specific2,biomarker_specific,behavior,collection,frequency,communication,doi,pmid,ur_ls
Lipids,152,"Addley, K., Boyd, S., Kerr, R., McQuillan, P., Houdmont, J., McCrory, M.","The impact of two workplace-based health risk appraisal interventions on employee lifestyle parameters, mental health and work ability: results of a randomized controlled trial",2014,Health promotion,NA,NA,NA,Physical ability,NA,Lipids,Lipids,Diet,Other collection types,Once,Real-time,https://dx.doi.org/10.1093/her/cyt113,24399261,NA
Lipids,152,"Addley, K., Boyd, S., Kerr, R., McQuillan, P., Houdmont, J., McCrory, M.","The impact of two workplace-based health risk appraisal interventions on employee lifestyle parameters, mental health and work ability: results of a randomized controlled trial",2014,Health promotion,NA,NA,NA,Physical ability,NA,Lipids,Lipids,Physical activity,Other collection types,Once,Real-time,https://dx.doi.org/10.1093/her/cyt113,24399261,NA
Lipids,152,"Addley, K., Boyd, S., Kerr, R., McQuillan, P., Houdmont, J., McCrory, M.","The impact of two workplace-based health risk appraisal interventions on employee lifestyle parameters, mental health and work ability: results of a randomized controlled trial",2014,Health promotion,NA,NA,NA,Physical ability,NA,Lipids,Lipids,Smoking reduction,Other collection types,Once,Real-time,https://dx.doi.org/10.1093/her/cyt113,24399261,NA
Lipids,152,"Addley, K., Boyd, S., Kerr, R., McQuillan, P., Houdmont, J., McCrory, M.","The impact of two workplace-based health risk appraisal interventions on employee lifestyle parameters, mental health and work ability: results of a randomized controlled trial",2014,Health promotion,NA,NA,NA,Physical ability,NA,Lipids,Lipids,Stress management,Other collection types,Once,Real-time,https://dx.doi.org/10.1093/her/cyt113,24399261,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Diet,Self,Once,Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Diet,Self,More than once,Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Diet,Other collection types,Once,Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Diet,Other collection types,More than once,Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Treatment adherence,Self,Once,Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Treatment adherence,Self,More than once,Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Treatment adherence,Other collection types,Once,Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Treatment adherence,Other collection types,More than once,Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Physical activity,Self,Once,Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Physical activity,Self,More than once,Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Physical activity,Other collection types,Once,Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Physical activity,Other collection types,More than once,Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Diet,Self,Once,Device/Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Diet,Self,More than once,Device/Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Diet,Other collection types,Once,Device/Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Diet,Other collection types,More than once,Device/Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Treatment adherence,Self,Once,Device/Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Treatment adherence,Self,More than once,Device/Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Treatment adherence,Other collection types,Once,Device/Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Treatment adherence,Other collection types,More than once,Device/Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Physical activity,Self,Once,Device/Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Physical activity,Self,More than once,Device/Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Physical activity,Other collection types,Once,Device/Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Blood pressure,185,"Aekplakorn, W., Suriyawongpaisal, P., Tansirisithikul, R., Sakulpipat, T., Charoensuk, P.",Effectiveness of Self-Monitoring Blood Pressure in Primary Care: A Randomized Controlled Trial,2016,CVD,NA,NA,NA,CVD management,Blood pressure,Blood pressure,Blood pressure,Physical activity,Other collection types,More than once,Device/Real-time,https://dx.doi.org/10.1177/2150131915614069,26574566,NA
Glucose,200,"Agarwal, P., Mukerji, G., Desveaux, L., Ivers, N. M., Bhattacharyya, O., Hensel, J. M., Shaw, J., Bouck, Z., Jamieson, T., Onabajo, N., Cooper, M., Marani, H., Jeffs, L., Bhatia, R. S.",Mobile App for Improved Self-Management of Type 2 Diabetes: Multicenter Pragmatic Randomized Controlled Trial,2019,Diabetes,NA,NA,Type 2 diabetes,Glycemic control,NA,Glucose,Glucose,Diet,Self,More than once,Device/One-way,https://dx.doi.org/10.2196/10321,30632972,NA
Glucose,200,"Agarwal, P., Mukerji, G., Desveaux, L., Ivers, N. M., Bhattacharyya, O., Hensel, J. M., Shaw, J., Bouck, Z., Jamieson, T., Onabajo, N., Cooper, M., Marani, H., Jeffs, L., Bhatia, R. S.",Mobile App for Improved Self-Management of Type 2 Diabetes: Multicenter Pragmatic Randomized Controlled Trial,2019,Diabetes,NA,NA,Type 2 diabetes,Glycemic control,NA,Glucose,Glucose,Physical activity,Self,More than once,Device/One-way,https://dx.doi.org/10.2196/10321,30632972,NA
Genetics,276,"Ahn, W. K., Lebowitz, M. S.",An experiment assessing effects of personalized feedback about genetic susceptibility to obesity on attitudes towards diet and exercise,2018,Overweight/Obesity,NA,NA,NA,Behavior,NA,Genetics,Genetics,Diet,Self,Once,One-way,https://dx.doi.org/10.1016/j.appet.2017.08.021,28837820,NA
Genetics,276,"Ahn, W. K., Lebowitz, M. S.",An experiment assessing effects of personalized feedback about genetic susceptibility to obesity on attitudes towards diet and exercise,2018,Overweight/Obesity,NA,NA,NA,Behavior,NA,Genetics,Genetics,Physical activity,Self,Once,One-way,https://dx.doi.org/10.1016/j.appet.2017.08.021,28837820,NA
Glucose,283,"Ahring, K. K., Ahring, J. P., Joyce, C., Farid, N. R.",Telephone modem access improves diabetes control in those with insulin-requiring diabetes,1992,Diabetes,NA,NA,Unspecified,Glycemic control,NA,Glucose,Glucose,Diet,Self,More than once,Device/Real-time,10.2337/diacare.15.8.971,1505329,NA
Blood pressure,288,"Aiello, L. P., Ayala, A. R., Antoszyk, A. N., Arnold-Bush, B., Baker, C., Bressler, N. M., Elman, M. J., Glassman, A. R., Jampol, L. M., Melia, M., Nielsen, J., Wolpert, H. A., Diabetic Retinopathy Clinical Research, Network",Assessing the Effect of Personalized Diabetes Risk Assessments During Ophthalmologic Visits on Glycemic Control: A Randomized Clinical Trial,2015,Diabetes,NA,NA,"Type 1 diabetes,Type 2 diabetes",Glycemic control,NA,"Blood pressure,HbA1c,Vision","Blood pressure,HbA1c,Vision",None,Other collection types,More than once,Real-time,https://dx.doi.org/10.1001/jamaophthalmol.2015.1312,25996273,NA
HbA1c,288,"Aiello, L. P., Ayala, A. R., Antoszyk, A. N., Arnold-Bush, B., Baker, C., Bressler, N. M., Elman, M. J., Glassman, A. R., Jampol, L. M., Melia, M., Nielsen, J., Wolpert, H. A., Diabetic Retinopathy Clinical Research, Network",Assessing the Effect of Personalized Diabetes Risk Assessments During Ophthalmologic Visits on Glycemic Control: A Randomized Clinical Trial,2015,Diabetes,NA,NA,"Type 1 diabetes,Type 2 diabetes",Glycemic control,NA,"Blood pressure,HbA1c,Vision","Blood pressure,HbA1c,Vision",None,Other collection types,More than once,Real-time,https://dx.doi.org/10.1001/jamaophthalmol.2015.1312,25996273,NA
Other biomarkers,288,"Aiello, L. P., Ayala, A. R., Antoszyk, A. N., Arnold-Bush, B., Baker, C., Bressler, N. M., Elman, M. J., Glassman, A. R., Jampol, L. M., Melia, M., Nielsen, J., Wolpert, H. A., Diabetic Retinopathy Clinical Research, Network",Assessing the Effect of Personalized Diabetes Risk Assessments During Ophthalmologic Visits on Glycemic Control: A Randomized Clinical Trial,2015,Diabetes,NA,NA,"Type 1 diabetes,Type 2 diabetes",Glycemic control,NA,"Blood pressure,HbA1c,Vision","Blood pressure,HbA1c,Vision",None,Other collection types,More than once,Real-time,https://dx.doi.org/10.1001/jamaophthalmol.2015.1312,25996273,NA
Glucose,307,"Ajjan, R. A., Jackson, N., Thomson, S. A.","Reduction in HbA1c using professional flash glucose monitoring in insulin-treated type 2 diabetes patients managed in primary and secondary care settings: A pilot, multicentre, randomised controlled trial",2019,Diabetes,NA,NA,Type 2 diabetes,Glycemic control,NA,Glucose,Glucose,None,Self,More than once,Device,https://dx.doi.org/10.1177/1479164119827456,31271312,NA
Glucose,351,"Al-Ofi, E. A., Mosli, H. H., Ghamri, K. A., Ghazali, S. M.",Management of postprandial hyperglycaemia and weight gain in women with gestational diabetes mellitus using a novel telemonitoring system,2019,Diabetes,NA,NA,Gestational diabetes,Glycemic control,NA,"Glucose,Weight/BMI","Glucose,Weight/BMI",Diet,Self,More than once,Device/One-way,https://dx.doi.org/10.1177/0300060518809872,30442052,NA
Anthropometry,351,"Al-Ofi, E. A., Mosli, H. H., Ghamri, K. A., Ghazali, S. M.",Management of postprandial hyperglycaemia and weight gain in women with gestational diabetes mellitus using a novel telemonitoring system,2019,Diabetes,NA,NA,Gestational diabetes,Glycemic control,NA,"Glucose,Weight/BMI","Glucose,Weight/BMI",Diet,Self,More than once,Device/One-way,https://dx.doi.org/10.1177/0300060518809872,30442052,NA
Glucose,372,"Alanzi, T., Alanazi, N. R., Istepanian, R., Philip, N.",Evaluation of the effectiveness of mobile diabetes management system with social networking and cognitive behavioural therapy (CBT) for T2D,2018,Diabetes,NA,NA,Type 2 diabetes,Glycemic control,NA,Glucose,Glucose,None,Self,More than once,Device/One-way,https://dx.doi.org/10.21037/mhealth.2018.06.05,30221168,NA
Blood pressure,422,"Alemi, F., Higley, P.","Reaction to ""talking"" computers assessing health risks",1995,Health promotion,NA,NA,NA,Behavior,NA,"Blood pressure,Lipids,Weight/BMI","Blood pressure,Lipids,Weight/BMI",Alcohol reduction,Self,Once,One-way,NA,NA,NA
Blood pressure,422,"Alemi, F., Higley, P.","Reaction to ""talking"" computers assessing health risks",1995,Health promotion,NA,NA,NA,Behavior,NA,"Blood pressure,Lipids,Weight/BMI","Blood pressure,Lipids,Weight/BMI",Physical activity,Self,Once,One-way,NA,NA,NA
Blood pressure,422,"Alemi, F., Higley, P.","Reaction to ""talking"" computers assessing health risks",1995,Health promotion,NA,NA,NA,Behavior,NA,"Blood pressure,Lipids,Weight/BMI","Blood pressure,Lipids,Weight/BMI",Safety behaviors,Self,Once,One-way,NA,NA,NA
Blood pressure,422,"Alemi, F., Higley, P.","Reaction to ""talking"" computers assessing health risks",1995,Health promotion,NA,NA,NA,Behavior,NA,"Blood pressure,Lipids,Weight/BMI","Blood pressure,Lipids,Weight/BMI",Smoking reduction,Self,Once,One-way,NA,NA,NA
Lipids,422,"Alemi, F., Higley, P.","Reaction to ""talking"" computers assessing health risks",1995,Health promotion,NA,NA,NA,Behavior,NA,"Blood pressure,Lipids,Weight/BMI","Blood pressure,Lipids,Weight/BMI",Alcohol reduction,Self,Once,One-way,NA,NA,NA
Lipids,422,"Alemi, F., Higley, P.","Reaction to ""talking"" computers assessing health risks",1995,Health promotion,NA,NA,NA,Behavior,NA,"Blood pressure,Lipids,Weight/BMI","Blood pressure,Lipids,Weight/BMI",Physical activity,Self,Once,One-way,NA,NA,NA
Lipids,422,"Alemi, F., Higley, P.","Reaction to ""talking"" computers assessing health risks",1995,Health promotion,NA,NA,NA,Behavior,NA,"Blood pressure,Lipids,Weight/BMI","Blood pressure,Lipids,Weight/BMI",Safety behaviors,Self,Once,One-way,NA,NA,NA
Lipids,422,"Alemi, F., Higley, P.","Reaction to ""talking"" computers assessing health risks",1995,Health promotion,NA,NA,NA,Behavior,NA,"Blood pressure,Lipids,Weight/BMI","Blood pressure,Lipids,Weight/BMI",Smoking reduction,Self,Once,One-way,NA,NA,NA
Anthropometry,422,"Alemi, F., Higley, P.","Reaction to ""talking"" computers assessing health risks",1995,Health promotion,NA,NA,NA,Behavior,NA,"Blood pressure,Lipids,Weight/BMI","Blood pressure,Lipids,Weight/BMI",Alcohol reduction,Self,Once,One-way,NA,NA,NA
Anthropometry,422,"Alemi, F., Higley, P.","Reaction to ""talking"" computers assessing health risks",1995,Health promotion,NA,NA,NA,Behavior,NA,"Blood pressure,Lipids,Weight/BMI","Blood pressure,Lipids,Weight/BMI",Physical activity,Self,Once,One-way,NA,NA,NA
Anthropometry,422,"Alemi, F., Higley, P.","Reaction to ""talking"" computers assessing health risks",1995,Health promotion,NA,NA,NA,Behavior,NA,"Blood pressure,Lipids,Weight/BMI","Blood pressure,Lipids,Weight/BMI",Safety behaviors,Self,Once,One-way,NA,NA,NA
Anthropometry,422,"Alemi, F., Higley, P.","Reaction to ""talking"" computers assessing health risks",1995,Health promotion,NA,NA,NA,Behavior,NA,"Blood pressure,Lipids,Weight/BMI","Blood pressure,Lipids,Weight/BMI",Smoking reduction,Self,Once,One-way,NA,NA,NA
Anthropometry,426,"Alencar, M., Johnson, K., Gray, V., Mullur, R., Gutierrez, E., Dionico, P.",Telehealth-Based Health Coaching Increases m-Health Device Adherence and Rate of Weight Loss in Obese Participants,2020,Overweight/Obesity,NA,NA,NA,Weight,NA,Weight/BMI,Weight/BMI,Diet,Self,More than once,Device/One-way/Real-time,https://dx.doi.org/10.1089/tmj.2019.0017,30994410,NA
Anthropometry,426,"Alencar, M., Johnson, K., Gray, V., Mullur, R., Gutierrez, E., Dionico, P.",Telehealth-Based Health Coaching Increases m-Health Device Adherence and Rate of Weight Loss in Obese Participants,2020,Overweight/Obesity,NA,NA,NA,Weight,NA,Weight/BMI,Weight/BMI,Physical activity,Self,More than once,Device/One-way/Real-time,https://dx.doi.org/10.1089/tmj.2019.0017,30994410,NA
Blood pressure,428,"Alencar, M. K., Johnson, K., Mullur, R., Gray, V., Gutierrez, E., Korosteleva, O.",The efficacy of a telemedicine-based weight loss program with video conference health coaching support,2019,Overweight/Obesity,NA,NA,NA,Weight,NA,"Blood pressure,Body composition,Heart rate","Blood pressure,Body composition,Heart rate",Diet,Self,More than once,Device,https://dx.doi.org/10.1177/1357633X17745471,29199544,NA
Blood pressure,428,"Alencar, M. K., Johnson, K., Mullur, R., Gray, V., Gutierrez, E., Korosteleva, O.",The efficacy of a telemedicine-based weight loss program with video conference health coaching support,2019,Overweight/Obesity,NA,NA,NA,Weight,NA,"Blood pressure,Body composition,Heart rate","Blood pressure,Body composition,Heart rate",Physical activity,Self,More than once,Device,https://dx.doi.org/10.1177/1357633X17745471,29199544,NA
Blood pressure,428,"Alencar, M. K., Johnson, K., Mullur, R., Gray, V., Gutierrez, E., Korosteleva, O.",The efficacy of a telemedicine-based weight loss program with video conference health coaching support,2019,Overweight/Obesity,NA,NA,NA,Weight,NA,"Blood pressure,Body composition,Heart rate","Blood pressure,Body composition,Heart rate",Stress management,Self,More than once,Device,https://dx.doi.org/10.1177/1357633X17745471,29199544,NA
Anthropometry,428,"Alencar, M. K., Johnson, K., Mullur, R., Gray, V., Gutierrez, E., Korosteleva, O.",The efficacy of a telemedicine-based weight loss program with video conference health coaching support,2019,Overweight/Obesity,NA,NA,NA,Weight,NA,"Blood pressure,Body composition,Heart rate","Blood pressure,Body composition,Heart rate",Diet,Self,More than once,Device,https://dx.doi.org/10.1177/1357633X17745471,29199544,NA
Anthropometry,428,"Alencar, M. K., Johnson, K., Mullur, R., Gray, V., Gutierrez, E., Korosteleva, O.",The efficacy of a telemedicine-based weight loss program with video conference health coaching support,2019,Overweight/Obesity,NA,NA,NA,Weight,NA,"Blood pressure,Body composition,Heart rate","Blood pressure,Body composition,Heart rate",Physical activity,Self,More than once,Device,https://dx.doi.org/10.1177/1357633X17745471,29199544,NA
Anthropometry,428,"Alencar, M. K., Johnson, K., Mullur, R., Gray, V., Gutierrez, E., Korosteleva, O.",The efficacy of a telemedicine-based weight loss program with video conference health coaching support,2019,Overweight/Obesity,NA,NA,NA,Weight,NA,"Blood pressure,Body composition,Heart rate","Blood pressure,Body composition,Heart rate",Stress management,Self,More than once,Device,https://dx.doi.org/10.1177/1357633X17745471,29199544,NA
Heart rate,428,"Alencar, M. K., Johnson, K., Mullur, R., Gray, V., Gutierrez, E., Korosteleva, O.",The efficacy of a telemedicine-based weight loss program with video conference health coaching support,2019,Overweight/Obesity,NA,NA,NA,Weight,NA,"Blood pressure,Body composition,Heart rate","Blood pressure,Body composition,Heart rate",Diet,Self,More than once,Device,https://dx.doi.org/10.1177/1357633X17745471,29199544,NA
Heart rate,428,"Alencar, M. K., Johnson, K., Mullur, R., Gray, V., Gutierrez, E., Korosteleva, O.",The efficacy of a telemedicine-based weight loss program with video conference health coaching support,2019,Overweight/Obesity,NA,NA,NA,Weight,NA,"Blood pressure,Body composition,Heart rate","Blood pressure,Body composition,Heart rate",Physical activity,Self,More than once,Device,https://dx.doi.org/10.1177/1357633X17745471,29199544,NA
